feature_id	reason	total_reads	taxon
cohort_feature_000131	removed_offtarget_pattern	17	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000135	removed_domain_unclassified	46	Unassigned
cohort_feature_000136	removed_offtarget_pattern	29	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000138	removed_domain_unclassified	30	Unassigned
cohort_feature_000139	removed_domain_unclassified	72	Unassigned
cohort_feature_000140	removed_offtarget_pattern	126	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000141	removed_domain_unclassified	32	Unassigned
cohort_feature_000142	removed_domain_unclassified	87	Unassigned
cohort_feature_000144	removed_offtarget_pattern	45	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000149	removed_domain_unclassified	302	Unassigned
